hname/C:sname/C:id0/I:id1/I:id2/I:id3/I:first/D:stampSec/D:mi.fMemUsed/D:mi.fSwapUsed/D:cI.fUser/D:cI.fSys/D:cI.fLoad1m/D:cI.fLoad5m/D:cI.fLoad15m/D:pI.fMemResident/D:pI.fMemVirtual/D:pI.fCpuUser/D:pI.fCpuSys/D:stampOldSec/D:miOld.fMemUsed/D:miOld.fSwapUsed/D:cIOld.fUser/D:cIOld.fSys/D:pIOld.fMemResident/D:pIOld.fMemVirtual/D:pIOld.fCpuUser/D:pIOld.fCpuSys/D:fileBytesRead/D:fileBytesWritten/D:fileCounter/D:fileReadCalls/D
dirac1.calpoly.edu	Start	0	-1	-1	-1	1498607133.78719	1498607133.78719	27944	0	0	0	0.300000011920929	0.449999988079071	0.479999989271164	128.65625	745.94140625	1.94177401065826	0.767120003700256	1498607133.7985	0	0	0	0	0	0	0	0	38454	0	1	4	
dirac1.calpoly.edu	AliTaskCDBconnect_CREATEOUTOBJ	0	0	0	-1	1498607133.78719	1498607133.8114	27945	0	0	0	0.300000011920929	0.449999988079071	0.479999989271164	128.890625	747.11328125	1.94843101501465	0.772171020507812	1498607133.78719	27944	0	0	0	128.65625	745.94140625	1.94177401065826	0.767120003700256	38454	0	1	4	
dirac1.calpoly.edu	AliEmcalCorrectionTask_CREATEOUTOBJ	0	1	0	-1	1498607133.78719	1498607133.84981	27965	0	0	0	0.300000011920929	0.449999988079071	0.479999989271164	149.40234375	767.171875	1.95723104476929	0.794887006282806	1498607133.8114	27945	0	0	0	128.890625	747.11328125	1.94843101501465	0.772171020507812	38454	199	2	4	
dirac1.calpoly.edu	AliEmcalJetTask_CREATEOUTOBJ	0	2	0	-1	1498607133.78719	1498607133.86123	27965	0	0	0	0.300000011920929	0.449999988079071	0.479999989271164	149.40234375	767.171875	1.95723104476929	0.794887006282806	1498607133.84981	27965	0	0	0	149.40234375	767.171875	1.95723104476929	0.794887006282806	38454	199	2	4	
dirac1.calpoly.edu	AliAnalysisTaskPatJet_CREATEOUTOBJ	0	3	0	-1	1498607133.78719	1498607133.87256	27965	0	0	0	0.300000011920929	0.449999988079071	0.479999989271164	149.421875	767.171875	1.95723104476929	0.794887006282806	1498607133.86123	27965	0	0	0	149.40234375	767.171875	1.95723104476929	0.794887006282806	38454	199	2	4	
dirac1.calpoly.edu	Exec_start	0	-1	-1	-1	1498607133.78719	1498607344.75816	28085	0	0	0	0.629999995231628	0.490000009536743	0.490000009536743	271.02734375	2801.640625	5.98738622665405	1.10636401176453	1498607133.87256	27965	0	0	0	149.421875	767.171875	1.95723104476929	0.794887006282806	14886558	2109	31	636	
dirac1.calpoly.edu	Handlers_BeginEventGroup	100	1002	0	-1	1498607133.78719	1498607366.26737	28258	0	0	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.14852237701416	1.23951494693756	1498607344.75816	28085	0	0	0	271.02734375	2801.640625	5.98738622665405	1.10636401176453	50567681	2109	36	787	
dirac1.calpoly.edu	Handlers_BeginEvent	100	1000	0	-1	1498607133.78719	1498607366.27878	28258	0	0	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.14949035644531	1.23951494693756	1498607366.26737	28258	0	0	0	413.4296875	2942.49609375	8.14852237701416	1.23951494693756	50567681	2109	36	787	
dirac1.calpoly.edu	AliTaskCDBconnect	100	0	1	-1	1498607133.78719	1498607366.28997	28258	0	0	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.14949035644531	1.24247705936432	1498607366.27878	28258	0	0	0	413.4296875	2942.49609375	8.14949035644531	1.23951494693756	50567681	2109	36	787	
dirac1.calpoly.edu	AliEmcalCorrectionTask	100	1	1	-1	1498607133.78719	1498607366.30171	28258	0	0	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.14949035644531	1.24247705936432	1498607366.28997	28258	0	0	0	413.4296875	2942.49609375	8.14949035644531	1.24247705936432	50567681	2109	36	787	
dirac1.calpoly.edu	AliEmcalJetTask	100	2	1	-1	1498607133.78719	1498607366.31978	28258	0	0	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.15628528594971	1.2426689863205	1498607366.30171	28258	0	0	0	413.4296875	2942.49609375	8.14949035644531	1.24247705936432	50567681	2109	36	787	
dirac1.calpoly.edu	AliAnalysisTaskPatJet	100	3	1	-1	1498607133.78719	1498607366.33104	28258	0	0	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.15724468231201	1.24281597137451	1498607366.31978	28258	0	0	0	413.4296875	2942.49609375	8.15628528594971	1.2426689863205	50567681	2109	36	787	
dirac1.calpoly.edu	Handlers_FinishEvent	100	1001	1	-1	1498607133.78719	1498607366.3423	28258	0	0	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.1582727432251	1.24297201633453	1498607366.33104	28258	0	0	0	413.4296875	2942.49609375	8.15724468231201	1.24281597137451	50567681	2109	36	787	
dirac1.calpoly.edu	Exec_start	100	-1	-1	-1	1498607133.78719	1498607366.52096	28258	0	3.03030300140381	0	0.550000011920929	0.479999989271164	0.479999989271164	413.4296875	2942.49609375	8.16160488128662	1.24299204349518	1498607366.3423	28258	0	0	0	413.4296875	2942.49609375	8.1582727432251	1.24297201633453	50568451	2109	36	788	
